event_time,network,network_region,price_aud_mwh,demand_mw
2026-05-02T20:30:00Z,NEM,VIC1,-2.26,3777.73
2026-05-02T20:35:00Z,NEM,NSW1,56.06,6493.67
2026-05-02T20:35:00Z,NEM,QLD1,50.07,5642.91
2026-05-02T20:35:00Z,NEM,SA1,-2.18,1273.57
2026-05-02T20:35:00Z,NEM,TAS1,84.62,944.37
2026-05-02T20:35:00Z,NEM,VIC1,-2.29,3935.11
2026-05-02T20:40:00Z,NEM,NSW1,56.06,6503.57
2026-05-02T20:40:00Z,NEM,QLD1,49.75,5646.15
2026-05-02T20:40:00Z,NEM,SA1,-2.16,1259.38
2026-05-02T20:40:00Z,NEM,TAS1,71.93,946.85
2026-05-02T20:40:00Z,NEM,VIC1,-2.29,3876.87
2026-05-02T20:45:00Z,NEM,NSW1,56.06,6537.66
2026-05-02T20:45:00Z,NEM,QLD1,49.45,5662.08
2026-05-02T20:45:00Z,NEM,SA1,-2.16,1298.14
2026-05-02T20:45:00Z,NEM,TAS1,71.92,941.49
2026-05-02T20:45:00Z,NEM,VIC1,-2.29,3852.31
2026-05-02T20:50:00Z,NEM,NSW1,57.51,6437.89
2026-05-02T20:50:00Z,NEM,QLD1,51.05,5682.68
2026-05-02T20:50:00Z,NEM,SA1,-2.15,1296.4
2026-05-02T20:50:00Z,NEM,TAS1,71.96,937.35
2026-05-02T20:50:00Z,NEM,VIC1,-2.26,3909.17
2026-05-02T20:55:00Z,NEM,NSW1,56.06,6408.72
2026-05-02T20:55:00Z,NEM,QLD1,48.74,5596.16
2026-05-02T20:55:00Z,NEM,SA1,-2.01,1306.15
2026-05-02T20:55:00Z,NEM,TAS1,72.8,945.47
2026-05-02T20:55:00Z,NEM,VIC1,-2.13,3953.63
2026-05-02T21:00:00Z,NEM,NSW1,56.06,6496.39
2026-05-02T21:00:00Z,NEM,QLD1,49.05,5550.64
2026-05-02T21:00:00Z,NEM,SA1,-1.87,1296.82
2026-05-02T21:00:00Z,NEM,TAS1,72.93,952.42
2026-05-02T21:00:00Z,NEM,VIC1,-2.0,3960.17
2026-05-02T21:05:00Z,NEM,NSW1,57.51,6490.0
2026-05-02T21:05:00Z,NEM,QLD1,50.3,5532.07
2026-05-02T21:05:00Z,NEM,SA1,-2.01,1313.55
2026-05-02T21:05:00Z,NEM,TAS1,72.03,951.73
2026-05-02T21:05:00Z,NEM,VIC1,-2.19,3935.6
2026-05-02T21:10:00Z,NEM,NSW1,56.06,6427.81
2026-05-02T21:10:00Z,NEM,QLD1,48.38,5526.9
2026-05-02T21:10:00Z,NEM,SA1,-1.1,1313.58
2026-05-02T21:10:00Z,NEM,TAS1,73.74,957.5
2026-05-02T21:10:00Z,NEM,VIC1,-1.22,3953.08
2026-05-02T21:15:00Z,NEM,NSW1,56.06,6481.85
2026-05-02T21:15:00Z,NEM,QLD1,47.46,5520.6
2026-05-02T21:15:00Z,NEM,SA1,-1.1,1333.03
2026-05-02T21:15:00Z,NEM,TAS1,73.04,959.95
2026-05-02T21:15:00Z,NEM,VIC1,-1.23,3984.16
2026-05-02T21:20:00Z,NEM,NSW1,56.03,6493.25
2026-05-02T21:20:00Z,NEM,QLD1,42.6,5448.76
2026-05-02T21:20:00Z,NEM,SA1,-1.02,1326.53
2026-05-02T21:20:00Z,NEM,TAS1,73.07,956.84
2026-05-02T21:20:00Z,NEM,VIC1,-1.18,4023.08
2026-05-02T21:25:00Z,NEM,NSW1,56.06,6488.39
2026-05-02T21:25:00Z,NEM,QLD1,5.23,5383.86
2026-05-02T21:25:00Z,NEM,SA1,-0.09,1323.79
2026-05-02T21:25:00Z,NEM,TAS1,74.2,963.83
2026-05-02T21:25:00Z,NEM,VIC1,-0.1,4016.88
2026-05-02T21:30:00Z,NEM,NSW1,25.01,6401.04
2026-05-02T21:30:00Z,NEM,QLD1,0.89,5426.82
2026-05-02T21:30:00Z,NEM,SA1,-0.09,1319.68
2026-05-02T21:30:00Z,NEM,TAS1,74.9,969.58
2026-05-02T21:30:00Z,NEM,VIC1,-0.1,3996.99
2026-05-02T21:35:00Z,NEM,NSW1,56.06,6435.3
2026-05-02T21:35:00Z,NEM,QLD1,0.74,5365.43
2026-05-02T21:35:00Z,NEM,SA1,-0.04,1333.19
2026-05-02T21:35:00Z,NEM,TAS1,74.25,981.06
2026-05-02T21:35:00Z,NEM,VIC1,-0.05,3989.68
2026-05-02T21:40:00Z,NEM,NSW1,56.06,6447.6
2026-05-02T21:40:00Z,NEM,QLD1,-2.01,5258.54
2026-05-02T21:40:00Z,NEM,SA1,0.0,1328.21
2026-05-02T21:40:00Z,NEM,TAS1,74.23,962.67
2026-05-02T21:40:00Z,NEM,VIC1,-0.05,3968.78
2026-05-02T21:45:00Z,NEM,NSW1,38.51,6346.58
2026-05-02T21:45:00Z,NEM,QLD1,-1.8,5230.66
2026-05-02T21:45:00Z,NEM,SA1,6.5,1303.21
2026-05-02T21:45:00Z,NEM,TAS1,74.28,962.95
2026-05-02T21:45:00Z,NEM,VIC1,0.0,4045.14
2026-05-02T21:50:00Z,NEM,NSW1,56.03,6390.37
2026-05-02T21:50:00Z,NEM,QLD1,37.93,5220.47
2026-05-02T21:50:00Z,NEM,SA1,-0.04,1305.74
2026-05-02T21:50:00Z,NEM,TAS1,74.23,970.36
2026-05-02T21:50:00Z,NEM,VIC1,-0.05,3998.66
2026-05-02T21:55:00Z,NEM,NSW1,38.5,6300.43
2026-05-02T21:55:00Z,NEM,QLD1,5.25,5058.33
2026-05-02T21:55:00Z,NEM,SA1,-0.09,1276.67
2026-05-02T21:55:00Z,NEM,TAS1,74.18,978.26
2026-05-02T21:55:00Z,NEM,VIC1,-0.1,3908.67
2026-05-02T22:00:00Z,NEM,NSW1,0.92,6265.17
2026-05-02T22:00:00Z,NEM,QLD1,0.74,5042.46
2026-05-02T22:00:00Z,NEM,SA1,-0.09,1273.03
2026-05-02T22:00:00Z,NEM,TAS1,74.9,988.23
2026-05-02T22:00:00Z,NEM,VIC1,-0.1,3896.76
2026-05-02T22:05:00Z,NEM,NSW1,40.54,6367.74
2026-05-02T22:05:00Z,NEM,QLD1,-2.01,5004.99
2026-05-02T22:05:00Z,NEM,SA1,-0.09,1258.36
2026-05-02T22:05:00Z,NEM,TAS1,86.9,998.76
2026-05-02T22:05:00Z,NEM,VIC1,-0.1,3902.1
2026-05-02T22:10:00Z,NEM,NSW1,23.88,6289.71
2026-05-02T22:10:00Z,NEM,QLD1,-1.8,5053.28
2026-05-02T22:10:00Z,NEM,SA1,-0.04,1225.15
2026-05-02T22:10:00Z,NEM,TAS1,86.95,1004.72
2026-05-02T22:10:00Z,NEM,VIC1,-0.05,3981.86
2026-05-02T22:15:00Z,NEM,NSW1,15.24,6248.73
2026-05-02T22:15:00Z,NEM,QLD1,-2.01,5030.39
2026-05-02T22:15:00Z,NEM,SA1,-0.01,1216.1
2026-05-02T22:15:00Z,NEM,TAS1,87.0,1007.42
2026-05-02T22:15:00Z,NEM,VIC1,0.0,3978.27
2026-05-02T22:20:00Z,NEM,NSW1,15.24,6173.49
2026-05-02T22:20:00Z,NEM,QLD1,0.0,5091.79
2026-05-02T22:20:00Z,NEM,SA1,-0.01,1208.47
2026-05-02T22:20:00Z,NEM,TAS1,87.0,1032.1
2026-05-02T22:20:00Z,NEM,VIC1,0.0,3854.62
2026-05-02T22:25:00Z,NEM,NSW1,15.24,6241.99
2026-05-02T22:25:00Z,NEM,QLD1,0.74,5066.7
2026-05-02T22:25:00Z,NEM,SA1,-0.01,1215.8
2026-05-02T22:25:00Z,NEM,TAS1,87.0,1031.64
2026-05-02T22:25:00Z,NEM,VIC1,0.0,3892.85
2026-05-02T22:30:00Z,NEM,NSW1,23.88,6196.34
2026-05-02T22:30:00Z,NEM,QLD1,-2.01,5000.64
2026-05-02T22:30:00Z,NEM,SA1,-1.02,1193.39
2026-05-02T22:30:00Z,NEM,TAS1,74.95,1027.8
2026-05-02T22:30:00Z,NEM,VIC1,-0.05,3842.35
2026-05-02T22:35:00Z,NEM,NSW1,0.92,6218.32
2026-05-02T22:35:00Z,NEM,QLD1,0.0,4876.75
2026-05-02T22:35:00Z,NEM,SA1,0.0,1169.19
2026-05-02T22:35:00Z,NEM,TAS1,74.29,1026.54
2026-05-02T22:35:00Z,NEM,VIC1,0.0,3830.55
2026-05-02T22:40:00Z,NEM,NSW1,15.24,6199.54
2026-05-02T22:40:00Z,NEM,QLD1,0.0,4773.38
2026-05-02T22:40:00Z,NEM,SA1,0.0,1146.93
2026-05-02T22:40:00Z,NEM,TAS1,74.28,1025.19
2026-05-02T22:40:00Z,NEM,VIC1,0.0,3874.8
2026-05-02T22:45:00Z,NEM,NSW1,0.92,6103.35
2026-05-02T22:45:00Z,NEM,QLD1,0.0,4758.7
2026-05-02T22:45:00Z,NEM,SA1,0.0,1103.46
2026-05-02T22:45:00Z,NEM,TAS1,74.28,1036.53
2026-05-02T22:45:00Z,NEM,VIC1,0.0,3884.95
2026-05-02T22:50:00Z,NEM,NSW1,0.92,6126.24
2026-05-02T22:50:00Z,NEM,QLD1,0.0,4739.75
2026-05-02T22:50:00Z,NEM,SA1,0.0,1110.81
2026-05-02T22:50:00Z,NEM,TAS1,74.28,1034.67
2026-05-02T22:50:00Z,NEM,VIC1,0.0,4003.23
2026-05-02T22:55:00Z,NEM,NSW1,0.92,6137.88
2026-05-02T22:55:00Z,NEM,QLD1,0.0,4637.16
2026-05-02T22:55:00Z,NEM,SA1,-1.0,1090.61
2026-05-02T22:55:00Z,NEM,TAS1,75.78,1037.98
2026-05-02T22:55:00Z,NEM,VIC1,0.75,4068.35
2026-05-02T23:00:00Z,NEM,NSW1,0.92,6013.34
2026-05-02T23:00:00Z,NEM,QLD1,0.0,4690.79
2026-05-02T23:00:00Z,NEM,SA1,-1.1,1062.78
2026-05-02T23:00:00Z,NEM,TAS1,75.8,1044.52
2026-05-02T23:00:00Z,NEM,VIC1,0.77,4178.42
2026-05-02T23:05:00Z,NEM,NSW1,1.41,5951.42
2026-05-02T23:05:00Z,NEM,QLD1,-1.8,4533.79
2026-05-02T23:05:00Z,NEM,SA1,-3.0,1036.0
2026-05-02T23:05:00Z,NEM,TAS1,88.24,1043.76
